LeadID,LeadDate,Source,City,Budget,PropertyType,Project,SalesOwner
44,2024-12-14,Referral,Gurgaon,9000000,Apartment,Green Valley,Priya Kapoor
45,2024-03-27,Facebook,Bangalore,11000000,Plot,Green Valley,Shefali Mehta
46,2024-05-26,Referral,Gurgaon,4100000,Plot,Urban Square,Rohit Sharma
47,2024-12-25,Facebook,Hyderabad,8900000,Plot,Sky Residency,Priya Kapoor
48,2024-06-30,Referral,Gurgaon,7900000,Apartment,Sky Residency,Riya Kapoor
49,2024-07-05,Referral,Bangalore,9900000,Villa,Palm Towers,Ravi Mehta
50,2024-07-13,Facebook,Gurgaon,16800000,Apartment,Sky Residency,Priya Kapoor
51,2024-07-29,Referral,Hyderabad,12800000,Apartment,Palm Towers,Rohit Sharma
52,2024-09-09,Housing,Hyderabad,11300000,Villa,Sky Residency,Priya Kapoor
53,2024-05-24,Google Ads,Pune,5000000,Plot,Elite Heights,Shefali Mehta
54,2024-03-09,99acres,Mumbai,3900000,Villa,Palm Towers,Praveen Tambe
55,2024-03-18,Facebook,Noida,12100000,Villa,Green Valley,Priya Kapoor
56,2024-08-21,Facebook,Mumbai,13600000,Plot,Palm Towers,Praveen Tambe
57,2024-02-06,Facebook,Gurgaon,6100000,Apartment,Green Valley,Shefali Mehta
58,2024-12-20,99acres,Gurgaon,11500000,Apartment,Urban Square,Sachin Tendulkar
59,2024-10-17,Channel Partner,Noida,16700000,Villa,Palm Towers,Rohit Sharma
60,2024-05-21,Walk-in,Gurgaon,10300000,Villa,Green Valley,Neha Singh
61,2024-04-05,Google Ads,Pune,3800000,Plot,Palm Towers,Shefali Mehta
62,2024-10-28,Referral,Noida,4000000,Apartment,Sky Residency,Viral Kohli
63,2024-12-10,Channel Partner,Gurgaon,4300000,Plot,Green Valley,Neha Singh
64,2024-06-30,Facebook,Pune,12000000,Villa,Urban Square,Ravi Mehta
65,2024-09-19,Housing,Pune,13400000,Apartment,Urban Square,Priya Kapoor
66,2024-02-23,Google Ads,Hyderabad,13700000,Plot,Elite Heights,Shefali Mehta
67,2024-07-27,Google Ads,Noida,6400000,Apartment,Urban Square,Shefali Mehta
68,2024-05-24,99acres,Mumbai,10800000,Plot,Palm Towers,Praveen Tambe
69,2024-06-25,Google Ads,Noida,14200000,Apartment,Green Valley,Viral Kohli
70,2024-07-02,Google Ads,Mumbai,17600000,Apartment,Sky Residency,Riya Kapoor
71,2024-12-06,99acres,Mumbai,4000000,Plot,Elite Heights,Viral Kohli
72,2024-12-23,Google Ads,Gurgaon,7600000,Villa,Sky Residency,Ravi Mehta
73,2024-01-19,Google Ads,Noida,7900000,Plot,Elite Heights,Sachin Tendulkar
74,2024-02-08,Channel Partner,Gurgaon,11500000,Plot,Elite Heights,Priya Kapoor
75,2024-08-03,Housing,Noida,12200000,Plot,Sky Residency,Aman Sharma
76,2024-06-09,Facebook,Bangalore,4600000,Villa,Palm Towers,Rohit Sharma
77,2024-01-03,Google Ads,Hyderabad,5700000,Villa,Elite Heights,Ravi Mehta
78,2024-06-26,Facebook,Gurgaon,18300000,Apartment,Urban Square,Aman Sharma
79,2024-03-07,Walk-in,Gurgaon,8800000,Apartment,Sky Residency,Riya Kapoor
80,2024-07-13,99acres,Gurgaon,18200000,Plot,Sky Residency,Sachin Tendulkar
81,2024-04-14,Facebook,Pune,15100000,Apartment,Palm Towers,Aman Sharma
82,2024-03-06,Channel Partner,Pune,7300000,Villa,Sky Residency,Ravi Mehta
83,2024-05-15,Walk-in,Bangalore,8200000,Villa,Green Valley,Neha Singh
84,2024-11-19,Google Ads,Gurgaon,6000000,Villa,Sky Residency,Viral Kohli
85,2024-04-07,99acres,Noida,6000000,Villa,Urban Square,Neha Singh
86,2024-01-23,Facebook,Mumbai,20000000,Plot,Palm Towers,Shefali Mehta
87,2024-08-23,99acres,Hyderabad,19200000,Apartment,Elite Heights,Aman Sharma
88,2024-12-03,Facebook,Noida,7100000,Plot,Urban Square,Rohit Sharma
89,2024-04-27,Google Ads,Gurgaon,9600000,Apartment,Sky Residency,Neha Singh
90,2024-07-08,Referral,Gurgaon,3800000,Apartment,Elite Heights,Shefali Mehta
91,2024-02-15,Facebook,Gurgaon,15900000,Apartment,Sky Residency,Sachin Tendulkar
92,2024-08-29,Google Ads,Pune,18900000,Plot,Elite Heights,Sachin Tendulkar
93,2024-05-19,Facebook,Noida,9000000,Apartment,Palm Towers,Aman Sharma
94,2024-12-11,Housing,Pune,14900000,Apartment,Elite Heights,Neha Singh
95,2024-06-10,Facebook,Bangalore,19200000,Apartment,Urban Square,Praveen Tambe
96,2024-03-10,Google Ads,Hyderabad,13000000,Plot,Green Valley,Riya Kapoor
97,2024-09-12,Housing,Noida,11500000,Plot,Palm Towers,Shefali Mehta
98,2024-05-15,Facebook,Gurgaon,9300000,Villa,Elite Heights,Viral Kohli
99,2024-08-24,99acres,Hyderabad,8400000,Villa,Urban Square,Ravi Mehta
100,2024-10-01,Channel Partner,Hyderabad,8200000,Apartment,Green Valley,Riya Kapoor
101,2024-06-17,Facebook,Pune,12700000,Villa,Elite Heights,Riya Kapoor
102,2024-09-23,Facebook,Hyderabad,16300000,Villa,Elite Heights,Rohit Sharma
103,2024-02-06,Facebook,Bangalore,17600000,Apartment,Palm Towers,Aman Sharma
104,2024-07-03,Housing,Noida,13900000,Plot,Palm Towers,Praveen Tambe
105,2024-08-16,Referral,Mumbai,6500000,Villa,Sky Residency,Rohit Sharma
106,2024-08-07,Facebook,Gurgaon,10300000,Villa,Sky Residency,Priya Kapoor
107,2024-05-31,Walk-in,Bangalore,12600000,Plot,Palm Towers,Sachin Tendulkar
108,2024-12-20,99acres,Gurgaon,14200000,Plot,Sky Residency,Ravi Mehta
109,2024-05-15,Facebook,Noida,10800000,Apartment,Palm Towers,Neha Singh
110,2024-06-17,Google Ads,Mumbai,8400000,Apartment,Urban Square,Sachin Tendulkar
111,2024-08-23,Facebook,Noida,11400000,Plot,Green Valley,Sachin Tendulkar
112,2024-07-16,Google Ads,Noida,9000000,Villa,Urban Square,Aman Sharma
113,2024-11-05,Housing,Gurgaon,5100000,Apartment,Sky Residency,Sachin Tendulkar
114,2024-10-20,Housing,Mumbai,12700000,Plot,Elite Heights,Priya Kapoor
115,2024-01-05,Facebook,Mumbai,9700000,Apartment,Green Valley,Riya Kapoor
116,2024-10-22,Facebook,Pune,14100000,Villa,Palm Towers,Neha Singh
117,2024-01-03,Facebook,Mumbai,19500000,Apartment,Palm Towers,Riya Kapoor
118,2024-07-31,Referral,Noida,4300000,Apartment,Green Valley,Shefali Mehta
119,2024-02-26,Google Ads,Hyderabad,15900000,Plot,Green Valley,Shefali Mehta
120,2024-08-18,Google Ads,Mumbai,12800000,Apartment,Urban Square,Riya Kapoor
121,2024-07-13,Referral,Gurgaon,8300000,Apartment,Green Valley,Sachin Tendulkar
122,2024-10-30,99acres,Hyderabad,3000000,Plot,Palm Towers,Shefali Mehta
123,2024-02-06,99acres,Mumbai,7800000,Villa,Urban Square,Viral Kohli
124,2024-01-02,Housing,Gurgaon,8600000,Villa,Elite Heights,Priya Kapoor
125,2024-11-30,Google Ads,Gurgaon,12300000,Plot,Urban Square,Ravi Mehta
126,2024-10-11,99acres,Bangalore,5200000,Plot,Sky Residency,Riya Kapoor
127,2024-11-23,Walk-in,Noida,13300000,Apartment,Green Valley,Neha Singh
128,2024-01-13,Google Ads,Hyderabad,13100000,Villa,Urban Square,Rohit Sharma
129,2024-04-24,Housing,Gurgaon,7000000,Villa,Green Valley,Viral Kohli
130,2024-05-30,Google Ads,Gurgaon,19600000,Villa,Palm Towers,Neha Singh
131,2024-02-11,Channel Partner,Gurgaon,8800000,Apartment,Green Valley,Shefali Mehta
132,2024-07-04,Facebook,Mumbai,11200000,Villa,Urban Square,Sachin Tendulkar
133,2024-06-28,99acres,Pune,4700000,Apartment,Sky Residency,Sachin Tendulkar
134,2024-06-23,Housing,Gurgaon,9700000,Villa,Urban Square,Praveen Tambe
135,2024-06-29,Google Ads,Pune,12900000,Apartment,Palm Towers,Aman Sharma
136,2024-07-23,Facebook,Bangalore,16400000,Apartment,Sky Residency,Neha Singh
137,2024-01-10,Channel Partner,Noida,13500000,Apartment,Sky Residency,Priya Kapoor
138,2024-11-06,Referral,Noida,12900000,Plot,Elite Heights,Riya Kapoor
139,2024-10-07,99acres,Hyderabad,8700000,Apartment,Palm Towers,Ravi Mehta
140,2024-04-29,99acres,Pune,8700000,Plot,Sky Residency,Priya Kapoor
141,2024-01-27,Walk-in,Pune,5400000,Villa,Elite Heights,Aman Sharma
142,2024-06-10,Facebook,Noida,11100000,Apartment,Elite Heights,Riya Kapoor
143,2024-10-27,Walk-in,Pune,12100000,Plot,Urban Square,Shefali Mehta
144,2024-04-10,Google Ads,Gurgaon,9300000,Villa,Sky Residency,Shefali Mehta
145,2024-12-25,Google Ads,Gurgaon,12200000,Apartment,Green Valley,Ravi Mehta
146,2024-03-19,Housing,Noida,8500000,Apartment,Urban Square,Riya Kapoor
147,2024-11-10,Google Ads,Pune,16500000,Plot,Green Valley,Riya Kapoor
148,2024-05-29,Google Ads,Pune,7400000,Apartment,Elite Heights,Priya Kapoor
149,2024-08-21,Facebook,Noida,8300000,Plot,Palm Towers,Shefali Mehta
150,2024-07-18,Facebook,Mumbai,14300000,Apartment,Green Valley,Shefali Mehta
151,2024-09-23,Channel Partner,Gurgaon,7400000,Plot,Urban Square,Viral Kohli
152,2024-06-23,Referral,Bangalore,14100000,Apartment,Sky Residency,Neha Singh
153,2024-04-03,Facebook,Hyderabad,5500000,Villa,Urban Square,Rohit Sharma
154,2024-08-04,Google Ads,Gurgaon,5000000,Plot,Sky Residency,Shefali Mehta
155,2024-07-31,Google Ads,Noida,8700000,Villa,Green Valley,Neha Singh
156,2024-08-27,Referral,Noida,11900000,Apartment,Sky Residency,Sachin Tendulkar
157,2024-12-08,Housing,Pune,18900000,Villa,Sky Residency,Sachin Tendulkar
158,2024-11-21,Google Ads,Bangalore,13200000,Plot,Elite Heights,Praveen Tambe
159,2024-11-12,Housing,Gurgaon,4200000,Plot,Urban Square,Praveen Tambe
160,2024-09-07,Google Ads,Bangalore,11500000,Apartment,Green Valley,Shefali Mehta
161,2024-02-05,Referral,Hyderabad,10900000,Apartment,Urban Square,Shefali Mehta
162,2024-03-24,Referral,Gurgaon,4000000,Villa,Urban Square,Ravi Mehta
163,2024-02-13,Google Ads,Gurgaon,12100000,Apartment,Elite Heights,Sachin Tendulkar
164,2024-07-01,Google Ads,Mumbai,11100000,Apartment,Urban Square,Aman Sharma
165,2024-01-14,Google Ads,Pune,19900000,Plot,Palm Towers,Priya Kapoor
166,2024-05-17,Walk-in,Gurgaon,19500000,Apartment,Urban Square,Viral Kohli
167,2024-01-05,Referral,Gurgaon,13100000,Apartment,Urban Square,Riya Kapoor
168,2024-09-26,Facebook,Pune,5800000,Plot,Elite Heights,Priya Kapoor
169,2024-11-20,Walk-in,Bangalore,16900000,Plot,Palm Towers,Riya Kapoor
170,2024-09-25,Google Ads,Pune,16600000,Plot,Urban Square,Priya Kapoor
171,2024-04-02,Referral,Mumbai,18500000,Plot,Green Valley,Ravi Mehta
172,2024-12-07,Channel Partner,Gurgaon,17200000,Apartment,Sky Residency,Shefali Mehta
173,2024-12-21,Facebook,Gurgaon,4600000,Villa,Sky Residency,Sachin Tendulkar
174,2024-07-22,Facebook,Pune,9400000,Plot,Palm Towers,Neha Singh
175,2024-08-13,Facebook,Bangalore,4400000,Apartment,Urban Square,Ravi Mehta
176,2024-04-06,Walk-in,Noida,19300000,Plot,Urban Square,Rohit Sharma
177,2024-10-05,99acres,Noida,16300000,Villa,Sky Residency,Viral Kohli
178,2024-02-28,Google Ads,Gurgaon,10400000,Villa,Green Valley,Rohit Sharma
179,2024-08-02,Facebook,Pune,13600000,Apartment,Green Valley,Neha Singh
180,2024-05-29,Walk-in,Noida,5400000,Villa,Urban Square,Sachin Tendulkar
181,2024-07-24,99acres,Pune,15100000,Plot,Sky Residency,Praveen Tambe
182,2024-07-04,Referral,Pune,3500000,Villa,Green Valley,Sachin Tendulkar
183,2024-05-15,Housing,Pune,11700000,Apartment,Palm Towers,Aman Sharma
184,2024-09-18,99acres,Mumbai,6000000,Apartment,Palm Towers,Priya Kapoor
185,2024-06-29,Google Ads,Hyderabad,4200000,Apartment,Palm Towers,Viral Kohli
186,2024-07-06,99acres,Pune,10000000,Plot,Urban Square,Shefali Mehta
187,2024-06-30,Google Ads,Noida,6600000,Villa,Green Valley,Riya Kapoor
188,2024-10-02,Housing,Pune,14200000,Plot,Urban Square,Riya Kapoor
189,2024-04-04,Housing,Hyderabad,3000000,Villa,Palm Towers,Rohit Sharma
190,2024-03-28,Facebook,Pune,13200000,Apartment,Urban Square,Shefali Mehta
191,2024-01-14,Google Ads,Bangalore,19500000,Villa,Sky Residency,Riya Kapoor
192,2024-03-05,Facebook,Pune,16800000,Villa,Sky Residency,Sachin Tendulkar
193,2024-05-15,99acres,Pune,19100000,Villa,Urban Square,Priya Kapoor
194,2024-05-12,Channel Partner,Bangalore,14700000,Apartment,Urban Square,Riya Kapoor
195,2024-05-10,Google Ads,Pune,12900000,Apartment,Green Valley,Viral Kohli
196,2024-01-22,Facebook,Gurgaon,12500000,Plot,Green Valley,Viral Kohli
197,2024-02-04,Housing,Gurgaon,11200000,Apartment,Sky Residency,Praveen Tambe
198,2024-06-03,Facebook,Hyderabad,19600000,Plot,Palm Towers,Riya Kapoor
199,2024-11-12,Facebook,Gurgaon,18900000,Plot,Urban Square,Aman Sharma
200,2024-05-08,Referral,Mumbai,10200000,Villa,Sky Residency,Shefali Mehta
201,2024-10-27,Channel Partner,Mumbai,4700000,Villa,Urban Square,Rohit Sharma
202,2024-02-16,Channel Partner,Mumbai,19600000,Plot,Elite Heights,Aman Sharma
203,2024-02-05,Facebook,Pune,5700000,Plot,Palm Towers,Viral Kohli
204,2024-04-21,Facebook,Noida,17400000,Villa,Sky Residency,Shefali Mehta
205,2024-02-21,Housing,Bangalore,17700000,Apartment,Palm Towers,Riya Kapoor
206,2024-01-08,Google Ads,Noida,18900000,Plot,Palm Towers,Neha Singh
207,2024-08-12,Housing,Bangalore,19700000,Villa,Green Valley,Neha Singh
208,2024-02-10,Google Ads,Bangalore,3600000,Apartment,Urban Square,Priya Kapoor
209,2024-02-03,Referral,Bangalore,19000000,Plot,Urban Square,Riya Kapoor
210,2024-10-01,Google Ads,Noida,10300000,Apartment,Palm Towers,Rohit Sharma
211,2024-08-24,Housing,Pune,13500000,Apartment,Urban Square,Riya Kapoor
212,2024-12-01,99acres,Gurgaon,16400000,Apartment,Sky Residency,Ravi Mehta
213,2024-11-14,Google Ads,Bangalore,16400000,Villa,Elite Heights,Viral Kohli
214,2024-06-16,Facebook,Noida,14500000,Villa,Elite Heights,Aman Sharma
215,2024-10-30,Facebook,Mumbai,18700000,Villa,Palm Towers,Rohit Sharma
216,2024-11-20,Housing,Gurgaon,14400000,Plot,Sky Residency,Aman Sharma
217,2024-10-13,Channel Partner,Gurgaon,16600000,Plot,Elite Heights,Ravi Mehta
218,2024-07-27,Facebook,Pune,15000000,Villa,Urban Square,Sachin Tendulkar
219,2024-09-12,Facebook,Noida,16000000,Villa,Urban Square,Rohit Sharma
220,2024-02-09,Channel Partner,Pune,3000000,Villa,Elite Heights,Viral Kohli
221,2024-02-10,Housing,Hyderabad,12700000,Plot,Urban Square,Viral Kohli
222,2024-08-20,Housing,Gurgaon,8600000,Apartment,Palm Towers,Aman Sharma
223,2024-10-14,Channel Partner,Pune,9500000,Plot,Green Valley,Ravi Mehta
224,2024-01-04,Housing,Pune,11200000,Apartment,Elite Heights,Rohit Sharma
225,2024-01-24,Facebook,Pune,10200000,Plot,Urban Square,Riya Kapoor
226,2024-01-16,Google Ads,Hyderabad,7300000,Apartment,Elite Heights,Riya Kapoor
227,2024-08-15,99acres,Bangalore,13200000,Villa,Palm Towers,Riya Kapoor
228,2024-04-26,Housing,Pune,19400000,Apartment,Elite Heights,Ravi Mehta
229,2024-11-09,Channel Partner,Pune,12500000,Plot,Sky Residency,Neha Singh
230,2024-08-12,99acres,Noida,6000000,Villa,Urban Square,Rohit Sharma
231,2024-01-09,Google Ads,Mumbai,14700000,Plot,Green Valley,Aman Sharma
232,2024-10-12,Walk-in,Gurgaon,6000000,Plot,Sky Residency,Priya Kapoor
233,2024-10-23,Facebook,Gurgaon,19900000,Plot,Green Valley,Praveen Tambe
234,2024-02-08,Channel Partner,Gurgaon,15300000,Villa,Elite Heights,Priya Kapoor
235,2024-03-26,Google Ads,Pune,18000000,Apartment,Palm Towers,Riya Kapoor
236,2024-02-05,Channel Partner,Hyderabad,8600000,Plot,Urban Square,Priya Kapoor
237,2024-08-14,Referral,Noida,5100000,Villa,Palm Towers,Aman Sharma
238,2024-12-16,Facebook,Noida,6400000,Villa,Green Valley,Riya Kapoor
239,2024-12-28,Housing,Gurgaon,15500000,Plot,Sky Residency,Priya Kapoor
240,2024-10-25,Google Ads,Mumbai,18100000,Plot,Elite Heights,Shefali Mehta
241,2024-12-25,Google Ads,Bangalore,5300000,Plot,Elite Heights,Shefali Mehta
242,2024-08-18,Google Ads,Mumbai,19300000,Villa,Urban Square,Shefali Mehta
243,2024-07-04,Google Ads,Gurgaon,3400000,Apartment,Green Valley,Priya Kapoor
244,2024-08-16,Google Ads,Hyderabad,5400000,Villa,Urban Square,Shefali Mehta
245,2024-01-15,Google Ads,Pune,14500000,Plot,Green Valley,Riya Kapoor
246,2024-05-14,Referral,Gurgaon,8000000,Villa,Sky Residency,Viral Kohli
247,2024-11-07,99acres,Pune,8400000,Apartment,Green Valley,Aman Sharma
248,2024-09-30,Referral,Mumbai,9400000,Villa,Elite Heights,Sachin Tendulkar
249,2024-03-24,Google Ads,Gurgaon,15400000,Plot,Sky Residency,Viral Kohli
250,2024-01-06,Facebook,Gurgaon,4200000,Villa,Urban Square,Sachin Tendulkar
251,2024-12-17,Facebook,Gurgaon,4800000,Apartment,Green Valley,Neha Singh
252,2024-02-18,Facebook,Pune,7300000,Plot,Urban Square,Praveen Tambe
253,2024-01-04,Referral,Hyderabad,6400000,Villa,Sky Residency,Viral Kohli
254,2024-06-01,Facebook,Bangalore,19500000,Apartment,Green Valley,Sachin Tendulkar
255,2024-09-28,Referral,Gurgaon,10400000,Villa,Elite Heights,Priya Kapoor
256,2024-12-05,Channel Partner,Hyderabad,6800000,Plot,Sky Residency,Aman Sharma
257,2024-12-24,Channel Partner,Bangalore,3800000,Plot,Palm Towers,Praveen Tambe
258,2024-01-27,Google Ads,Bangalore,5200000,Plot,Urban Square,Shefali Mehta
259,2024-03-10,Google Ads,Hyderabad,16400000,Apartment,Green Valley,Viral Kohli
260,2024-09-20,99acres,Hyderabad,3700000,Plot,Urban Square,Riya Kapoor
261,2024-04-26,Housing,Mumbai,8200000,Plot,Elite Heights,Neha Singh
262,2024-04-12,Housing,Hyderabad,12500000,Apartment,Urban Square,Riya Kapoor
263,2024-07-03,Google Ads,Mumbai,16400000,Plot,Urban Square,Ravi Mehta
264,2024-10-09,Facebook,Gurgaon,7500000,Plot,Urban Square,Ravi Mehta
265,2024-01-31,Facebook,Pune,17300000,Plot,Palm Towers,Sachin Tendulkar
266,2024-02-25,Referral,Mumbai,11800000,Plot,Sky Residency,Priya Kapoor
267,2024-01-23,Google Ads,Gurgaon,10400000,Villa,Urban Square,Shefali Mehta
268,2024-04-18,Facebook,Gurgaon,3800000,Apartment,Palm Towers,Shefali Mehta
269,2024-05-13,Referral,Gurgaon,5400000,Plot,Urban Square,Aman Sharma
270,2024-12-16,Google Ads,Gurgaon,14100000,Villa,Urban Square,Ravi Mehta
271,2024-09-16,Google Ads,Mumbai,3700000,Villa,Elite Heights,Viral Kohli
272,2024-12-16,Referral,Pune,3600000,Villa,Palm Towers,Shefali Mehta
273,2024-06-26,Google Ads,Mumbai,6100000,Apartment,Green Valley,Priya Kapoor
274,2024-06-18,Google Ads,Hyderabad,6800000,Plot,Urban Square,Priya Kapoor
275,2024-05-18,Google Ads,Hyderabad,16300000,Villa,Sky Residency,Riya Kapoor
276,2024-05-24,Google Ads,Bangalore,6600000,Apartment,Urban Square,Riya Kapoor
277,2024-10-28,Housing,Bangalore,10700000,Villa,Palm Towers,Rohit Sharma
278,2024-04-26,Google Ads,Hyderabad,16100000,Plot,Sky Residency,Rohit Sharma
279,2024-02-13,Referral,Noida,4100000,Villa,Palm Towers,Aman Sharma
280,2024-07-03,Facebook,Mumbai,4700000,Villa,Green Valley,Ravi Mehta
281,2024-04-17,Channel Partner,Noida,4100000,Plot,Palm Towers,Aman Sharma
282,2024-01-03,Channel Partner,Bangalore,11000000,Apartment,Urban Square,Neha Singh
283,2024-02-13,Channel Partner,Gurgaon,12300000,Villa,Green Valley,Praveen Tambe
284,2024-02-27,99acres,Mumbai,8400000,Apartment,Green Valley,Praveen Tambe
285,2024-10-31,Channel Partner,Bangalore,3000000,Plot,Palm Towers,Priya Kapoor
286,2024-12-28,Facebook,Noida,4400000,Apartment,Green Valley,Neha Singh
287,2024-08-26,Referral,Gurgaon,9100000,Villa,Green Valley,Shefali Mehta
288,2024-06-19,Google Ads,Noida,5800000,Villa,Palm Towers,Sachin Tendulkar
289,2024-05-07,Channel Partner,Hyderabad,8400000,Apartment,Elite Heights,Praveen Tambe
290,2024-07-15,Housing,Noida,18100000,Villa,Sky Residency,Viral Kohli
291,2024-11-28,Referral,Mumbai,6100000,Villa,Elite Heights,Riya Kapoor
292,2024-10-27,Google Ads,Noida,4900000,Apartment,Urban Square,Sachin Tendulkar
293,2024-01-10,Facebook,Gurgaon,18700000,Villa,Palm Towers,Ravi Mehta
294,2024-10-10,Facebook,Bangalore,5000000,Apartment,Green Valley,Neha Singh
295,2024-01-28,Channel Partner,Pune,3300000,Plot,Sky Residency,Rohit Sharma
296,2024-08-12,Google Ads,Bangalore,9700000,Villa,Sky Residency,Neha Singh
297,2024-03-12,Google Ads,Hyderabad,18000000,Apartment,Palm Towers,Sachin Tendulkar
298,2024-11-29,Housing,Noida,5700000,Plot,Sky Residency,Sachin Tendulkar
299,2024-06-18,Google Ads,Mumbai,10800000,Plot,Green Valley,Sachin Tendulkar
300,2024-01-20,Housing,Mumbai,15200000,Villa,Elite Heights,Priya Kapoor
301,2024-12-09,Facebook,Gurgaon,6700000,Apartment,Green Valley,Sachin Tendulkar
302,2024-02-04,Google Ads,Hyderabad,16400000,Plot,Green Valley,Viral Kohli
303,2024-08-28,Google Ads,Noida,13100000,Villa,Palm Towers,Shefali Mehta
304,2024-11-10,Housing,Noida,19700000,Plot,Sky Residency,Riya Kapoor
305,2024-07-30,Facebook,Pune,10600000,Plot,Elite Heights,Aman Sharma
306,2024-06-15,Housing,Gurgaon,18500000,Villa,Palm Towers,Ravi Mehta
307,2024-11-09,Facebook,Gurgaon,9700000,Apartment,Urban Square,Ravi Mehta
308,2024-03-29,Google Ads,Gurgaon,13900000,Plot,Urban Square,Neha Singh
309,2024-05-10,Housing,Noida,19400000,Plot,Palm Towers,Shefali Mehta
310,2024-04-19,Facebook,Bangalore,18100000,Apartment,Elite Heights,Rohit Sharma
311,2024-07-01,Facebook,Mumbai,16100000,Apartment,Green Valley,Shefali Mehta
312,2024-09-14,Channel Partner,Gurgaon,12600000,Apartment,Urban Square,Priya Kapoor
313,2024-02-20,Google Ads,Hyderabad,18700000,Villa,Elite Heights,Viral Kohli
314,2024-07-01,Housing,Gurgaon,18200000,Villa,Urban Square,Riya Kapoor
315,2024-10-22,Referral,Noida,10000000,Plot,Palm Towers,Priya Kapoor
316,2024-09-25,Facebook,Bangalore,10200000,Villa,Urban Square,Ravi Mehta
317,2024-02-25,Google Ads,Gurgaon,18600000,Plot,Palm Towers,Sachin Tendulkar
318,2024-01-06,Housing,Gurgaon,3600000,Villa,Elite Heights,Riya Kapoor
